意图,回应
推荐券_旅行积分,如果您通过邀请链接加入爱彼迎获得了旅行积分如果您使用推荐链接注册了爱彼迎，当您支付第一次符合条件的预订时，您的推荐优惠券将自动出现在结帐页面上。您必须有符合条件的预订才有资格获得推荐旅行积分。符合条件的预订必须满足最低价值，其中不包括任何税费。由于最低金额可能会有所不同，因此您应该参考收到的邀请电子邮件或前往邀请页面查看有关哪些预订符合条件的详细信息。如果您通过邀请朋友加入 爱彼迎 获得了旅行积分如果您的朋友使用您的推荐链接注册了 爱彼迎 并完成了符合条件的预订，那么旅行积分将自动添加到您的帐户中。当您为下一次预订付款时，您的旅行积分将显示在结帐页面上。请记住，一旦您的朋友完成符合条件的旅行，您将获得旅行积分。如果您的旅行积分尚未显示，则意味着您的朋友尚未完成他们的旅行或他们的预订不符合条件。
推荐券不见,如果您使用推荐链接注册了 爱彼迎，当您为第一次符合条件的预订付款时，推荐优惠券应该会自动出现在结帐页面上。阅读有关符合条件的预订和旅行积分的更多信息。如果您的推荐优惠券没有出现，您可以按照以下步骤找回您的信用。您将需要收到的推荐链接，该链接可能在您的电子邮件、短信或社交媒体帖子中。或者，您可以使用推荐您的人的电子邮件地址——但这只有在与他们用于爱彼迎账户的电子邮件地址相同时才有效。
礼品卡重量,您可以在商店和网上或直接从我们这里获得 爱彼迎 礼品卡！根据您购买礼品卡的地点，您可以获得发送给您或您的收件人的实体卡或数字卡。目前，礼品卡仅在以下国家/地区可用： 澳大利亚 奥地利 比利时 加拿大 芬兰 法国 德国 爱尔兰 意大利 墨西哥* 荷兰 新西兰 西班牙 瑞典 英国 美国 * - 礼品卡仅可通过第三方零售商购买 重要信息：目前，只能为与您在同一国家或地区的人购买礼品卡，并且收件人必须在该国家/地区拥有有效的付款方式。如果您位于欧洲经济区 (EEA) 区域内的某个国家/地区（法国、意大利、西班牙、德国、奥地利、比利时、芬兰、爱尔兰、荷兰和瑞典），您可以为以下地区的其他人购买礼品卡那些 EEA 国家，只要收件人在该国家/地区拥有有效的付款方式。兑换礼品卡后，可用于世界各地的任何住宿或体验。
发票客人,在爱彼迎生成增值税发票的地区，您可以访问每个预订的单独增值税发票或批量下载增值税发票。要访问预订的增值税发票： 转到预订（您需要在台式计算机或浏览器上登录您的帐户） 如果未显示您要查找的预订，请单击已完成选项卡 单击三个预订旁边的点 选择增值税发票 要为您的预订批量访问增值税发票： 转到预订（您需要在台式计算机或浏览器上登录您的帐户） 选择导出 选择下载增值税发票 选择您的文件类型（ CSV 或 PDF 格式）并选择您要下载的月份 选择下载 注意：批量下载将包括开始日期在所选月份内的预订的增值税发票。如果您将经过验证的增值税 ID 号添加到您的帐户，它将包含在之后创建的增值税发票中。有关预订详情，请查看您的房东确认信息。
收据添加信息,收据发出后，您将无法对其进行添加或编辑。您的账单收据基于您在预订时提供的信息。但是，您可以在预订后更改行程。这包括添加以下信息： 客人姓名和号码（在预订结束前可编辑） 营业地址或帐单地址（随时可编辑） 护照号码 出生日期 客人姓名 税号
收据查找,前往行程并选择您想要收据的行程 单击显示更多行程计划 在显示详细信息中，单击获取收据 选择付款并单击获取收据
concur_triplink,关联您的账户 关联您的 爱彼迎 和 Concur TripLink 账户： 前往 Concur 应用中心的 爱彼迎，然后单击连接 登录您现有的 爱彼迎 账户，或者，如果您还没有账户，请创建一个新账户已链接，您可以通过在预订请求结帐页面上将此预订发送给 Concur 旁边的框标记，使任何 爱彼迎 预订的收据出现在您的 Concur 帐户中。
concur_triplink关联,您需要使用浏览器（而不是使用 爱彼迎 应用程序）登录您的账户来取消关联您的账户。要取消您的 爱彼迎 和 Concur TripLink 帐户的链接：转到帐户选择设置下取消与 Concur 的链接，单击取消链接
图形用户界面,每当对 爱彼迎 服务费或住宿价格以及其他项目（如洁和额外客人）的任何费用征收台湾增值税时，都会提供台湾电子政府统一发票 (eGUI)。爱彼迎向居住在台湾的客人收取客人服务费的增值税。 爱彼迎 还向所有入住台湾房源的客人收取全额住宿费以及其他项目的任何费用，例如清洁费或额外客人的费用（如果适用）。 eGUI 在接受预订时完成并发布，其中包含您为爱彼迎账户输入的信息（姓名和电子邮件地址）。发布后，爱彼迎 无法修改 eGUI。客人要访问 eGUI 进行预订，系统将向与您的 爱彼迎 帐户关联的电子邮件地址发送通知，说明 eGUI 已准备好在台湾财政部电子发票平台下载。当预订被接受、更改和/或取消并且适用台湾增值税时，您还会收到一封电子邮件通知。访问电子发票平台上的 eGUI 进行预订是可选的。有关预订详情，请查看您的账单收据。如果您认为您需要额外的旅行文件，我们建议您在预订前与房东沟通，看看他们是否能够为您提供帮助。
收据_巴西,对于房东 您可以访问每个预订的个人收据。访问预订收据： 转到今天选项卡并单击全部显示以访问您的预订（您需要在计算机或浏览器上访问您的帐户） 单击所需预订的详细信息 单击打印以查看和打印预订的详细信息预订 要访问您的批量预订收据：转到菜单并选择交易历史记录（您需要在计算机或浏览器上访问您的帐户） 单击导出到 CSV 以下载文件 为客人访问您的预订收据：前往旅行并选择您的旅行（您需要在计算机或浏览器上访问您的帐户）。点击您的住宿预订。如果您已经在旅途中，您可能需要点击入住日期。单击获取收据。您还可以通过选择付款信息并单击或点击获取收据，通过预订确认电子邮件接收收据。收据的链接也可以在 爱彼迎 服务费下方的电子邮件收据中找到。要了解有关预订的更多信息，请查看账单收据。如果您认为您需要额外的旅行文件，我们建议您在确认预订之前与房东沟通，看看他们是否可以提供帮助。
发票_巴西,当通过爱彼迎关闭一项操作时，系统会自动生成收据，您可以在爱彼迎平台的个人资料中查看该收据。此收据对税务目的没有影响，但您可以使用它来证明您的预订和付款。 爱彼迎 只会根据现行法律和圣保罗市政府发布的 SEI 号 6017.2021/0025032-5 的特别制度授权条款开具 爱彼迎 服务费 (NFS-e) 发票。注意：爱彼迎 不会就住宿的总价值开具任何发票。
增值税如何,增值税 (VAT) 是对商品和服务供应征收的税种。在某些国家/地区，此类税费可能被称为商品和服务税 (GST)、服务税或消费税（在本文中统称为“增值税”）。根据您的居住国家/地区或房源所在地，爱彼迎需要对您在对电子提供服务征税的国家/地区的预订时的爱彼迎服务费征收增值税。预订的宾客服务费需缴纳增值税。如果您更改预订，增值税会调整以反映服务费的任何变化。预订的房东服务费需缴纳增值税。如果更改预订，增值税会调整以反映服务费的任何变化。根据您的居住国家/地区或房源所在地，您可能需要对您向房客提供的住宿和/或体验服务评估增值税（或其他税费，例如占用税）。详细了解税收对房东的作用。如果您需要协助评估您提供的服务的增值税，我们鼓励您咨询您的税务顾问。
增值税添加,在欧盟范围内，无论您是作为企业经营的房东还是使用雇主付款方式付款的客人，您都可以添加您的增值税 ID 号。当欧盟委员会通过增值税信息交换系统 (VIES) 成功验证您的增值税 ID 号后，我们将不会向您收取增值税服务费。您有责任自行评估是否需要为使用我们的服务支付增值税。欧盟以外的增值税 ID 号可能会根据您的注册地以不同的名称命名：澳大利亚 - ABN、ACN 白俄罗斯 - УНП 加那利群岛 - IGIC 哥伦比亚 - 增值税冰岛 - VSK/VASK 印度尼西亚 - NPWP 日本 - JCT 新西兰 - GST 挪威 - VAT 沙特阿拉伯 - TRN 塞尔维亚 - PIB 新加坡 - GST / UEN / NRIC 韩国 - BRN 瑞士 - VAT 台湾 - VAT 泰国 - TIN 土耳其 - VAT 阿拉伯联合酋长国 - TRN 在欧盟范围内，您有责任自我评估您是否需要为使用我们的服务支付增值税，并且您想考虑更新您的定价。在瑞士、日本和印度尼西亚，拥有增值税号不会免除您根据当地法律对服务费征收的增值税。添加您的增值税号 转到帐户 > 付款和付款 > 税款 单击添加增值税号 输入您的增值税号验证信息 单击添加 如果欧盟委员会未成功验证您的增值税号，您可能需要重新尝试-进入它。未经此验证，爱彼迎无法将增值税号与您的帐户相关联，我们也无法解决问题。有关按成员国划分的增值税 ID 号的正确格式列表和其他信息，请参阅欧盟委员会的 VIES 常见问题解答。如果无法验证您的增值税号，并且您确定需要自行评估我们的服务费增值税，我们建议您咨询税务顾问寻求帮助。
增值税免税,一些城市免除旅客的旅游税或根据他们的情况允许减免旅游税。例子包括儿童、市政当局的居民或在医院探望亲戚的旅行者。以下是一些热门目的地的更多详细信息： 法国 德国 意大利 立陶宛 葡萄牙 瑞士 要了解您是否有资格获得退款或减免，请访问该市的旅游税网页或联络其税务或财政部。
适合的浏览器,为了获得使用 爱彼迎 网站的最佳体验，我们建议使用最新版本的 Google Chrome、Mozilla Firefox、Microsoft Edge 或 Opera。浏览器开发人员经常进行改进，为您提供更快、更安全的在线体验。与旧版浏览器相比，较新的浏览器还支持更广泛的设计和功能。 爱彼迎 网站的许多功能不适用于过时或不受支持的浏览器——在这种情况下，我们通常无法提供技术支持。
登录_AppleID ,Sign in with Apple 允许您在 爱彼迎 上使用 Face ID 或 Touch ID 而不是密码。老用户可以一键登录他们的帐户。 Sign in with Apple 目前仅可用于创建新的 爱彼迎 帐户。如果您已经有爱彼迎账户，请照常登录您的账户。创建新帐户时，您还可以通过 Web 浏览器或 Android 手机使用 Apple 登录。查看 Apple 的支持页面，了解如何在其他平台上执行此操作。如果您使用电子邮件地址从 Web 浏览器或 Android 设备注册，请单击登录，然后单击忘记密码？输入与您的 Apple ID 关联的电子邮件地址，然后单击发送重置链接。按照电子邮件中的说明在您的帐户上设置爱彼迎密码。您现在可以使用您的 Apple ID 电子邮件地址和您的 爱彼迎 密码登录您的帐户。您仍然可以在 iOS 设备上使用一键式 Apple 登录。如果您使用 Apple 转发电子邮件地址进行注册，请查看 Apple 的支持页面以了解如何执行此操作。
取消关联_AppleID ,在您的 iOS 设备上，转到“设置”并单击您的姓名（第一个菜单项）。单击密码和安全性，然后单击使用您的 Apple ID 的应用程序。单击 爱彼迎，然后单击停止使用 Apple ID。通过再次单击停止使用来确认您的选择。请注意，这不会删除您的 爱彼迎 帐户，而只是将您的 Apple ID 与您的 爱彼迎 帐户分离。
中国帐户,爱彼迎通过爱彼迎互联网（北京）有限公司（“爱彼迎中国”）在中华人民共和国（不包括香港、澳门和台湾）（“中国”）开展业务。如果您居住在中国：根据我们的服务条款，您将与爱彼迎中国签订合同，但在中国境外预订房东服务或创建房源时，您将与爱彼迎爱尔兰签订合同。根据我们的付款服务条款，您将与爱彼迎中国签订合同，但以下情况除外：您在中国境外预订房东服务；或者当您创建位于中国境外的列表时；或者您向非中国居民的房东预订中国房源，在这种情况下，您与 爱彼迎 Payments UK Ltd 就该交易签订了合同。根据我们的隐私政策，当您与爱彼迎中国签订合同时，您的信息将根据中国法律法规（包括隐私和信息披露法）传输至爱彼迎中国，并由爱彼迎中国进行存储、使用和处理。与在中国经营的酒店和所有企业一样，爱彼迎中国必须遵守这些当地法律法规。中国政府机构要求爱彼迎中国披露与中国房源相关的房东和房源信息，以及与中国预订相关的客人预订和入住信息。与在中国开展业务的其他酒店公司类似，爱彼迎中国将向中国政府机构披露您的信息，恕不另行通知。如果您不住在中国，请更新您帐户设置的个人资料的“您居住的地方”部分。
帐户_fb_google,根据您的隐私设置，将您的 Facebook 或 Google 帐户连接到 爱彼迎，您可以直接或通过共同的朋友查看您与这些帐户上的其他人的联络方式。您的社交账户还将向您社交账户上的朋友（他们也在爱彼迎上）突出显示您的 爱彼迎 活动，其中可能包括您的用户名、头像和最近访问的位置。转到帐户 单击登录和安全 转到社交帐户，选择每个帐户旁边的连接并按照说明进行操作。要断开连接，请按照步骤操作，然后选择要关闭的每个帐户旁边的断开连接。当您关闭 Facebook 或 Google 帐户时，您的 爱彼迎 帐户仍与该帐户保持连接。但是，您的 爱彼迎 活动不会与该帐户在 爱彼迎 上的朋友分享。您的公开 爱彼迎 活动，例如您创建的愿望单或您撰写的评论，仍会在 爱彼迎 上向其他人显示。如果您启用了 Facebook 或 Google 帐户，但没有看到任何联络，则可能是您来自该帐户的朋友尚未在 爱彼迎 上活跃。
更改帐户密码,转到帐户 > 登录和安全 在密码旁边，单击更新 输入您的当前密码 输入并确认您的新密码 单击更新密码
重置帐户密码,转到重置密码页面 输入您用于 爱彼迎 的电子邮件地址 单击发送重置链接 您将收到电子邮件重置密码的链接。如果您多次请求重置链接，请确保您使用的是正确的电子邮件地址。您可能还需要禁用电子邮件服务的链接预览（例如：Outlook）或邮件扫描仪功能，这可能会导致链接在您打开之前过期。如果您通过连接到 Facebook、Google、Apple 或使用您的电话号码创建了 爱彼迎 帐户，则无需创建密码。但是您也可以选择通过创建密码直接登录。方法如下： 退出您的爱彼迎账户 按照上述步骤重置您的密码
更改帐户,只需单击或点按您的个人资料图片并转到帐户，您会发现： 个人信息：提供个人详细信息以及我们如何联络您 登录和安全：更新您的密码并保护您的帐户 付款和付款：查看付款、付款、优惠券、礼品卡和税费 通知：选择通知偏好以及您希望如何联络 隐私和共享：控制连接的应用程序、您共享的内容以及谁可以看到 全球偏好：设置您的默认语言、货币和时区 出差: 加个工作邮箱，出差福利 专业托管工具： 管理好几处房产 邀请好友： 人人出游更有趣。
合并帐户,出于某种原因，您可能拥有多个 爱彼迎 帐户。不幸的是，没有办法在它们之间合并或移动信息或预订。我们的建议？选择您要继续使用的一个，然后停用或删除另一个。该帐户上的任何待处理预订都将被取消，因此请务必等到预订完成后再将其删除。
改帐户电子邮件,转到帐户 > 个人信息 在电子邮件地址旁边，单击编辑 进行更改，然后单击保存 如果您收到电子邮件地址已被使用但忘记密码的通知，请尝试重置它。
改帐户电话,转到帐户 > 个人信息 在电话号码旁边，单击编辑进行更改，然后单击保存
联络人紧急情况,转到帐户 > 个人信息 在紧急联络人旁边，单击编辑 单击添加新紧急联络人 输入您的紧急联络人详细信息，然后单击保存 您可以按照上述步骤添加其他联络人，或删除现有联络人。只需单击删除或添加新的紧急联络人。
换语言,单击您的个人资料照片 > 帐户 > 全球首选项 在首选语言旁边，单击编辑 选择您的首选语言 单击保存
帐户位置,单击您的个人资料照片>帐户转到个人资料并单击编辑添加或更改您的位置单击保存
删除帐户,我们不想看到你离开，但如果你决定离开 爱彼迎，你有几个选择。您可以暂时停用您的帐户，以便稍后重新激活它，或者您可以永久删除它。要提交任一请求，请通过网络浏览器（而非 爱彼迎 应用程序）访问 https://www.爱彼迎.com/account-settings/privacy-and-sharing。
帐户工作电子邮件,商务旅行者可以使用他们的常规 爱彼迎 账户预订商务旅行——您只需将您的工作电子邮件地址与您的 爱彼迎 账户相关联，以便我们确认您为贵公司工作。如果您需要切换与您的工作电子邮件关联的帐户，或者如果您不再希望您的帐户被关联，请按照以下步骤从您的个人 爱彼迎 帐户取消关联（或重新关联）您的工作电子邮件地址：转到编辑个人资料在 爱彼迎.com 上向下滚动到 Work Travel 单击 X 取消关联您的帐户或单击 + 添加工作电子邮件以添加新的工作电子邮件 公司旅行管理员注意事项：如果您是公司帐户的唯一旅行管理员，我们建议您在取消关联帐户之前添加了另一个旅行管理员。
验证身份,房东可能会要求他们的客人提供政府身份证，以便预订他们的地方或体验。有时我们会要求提供身份证件来帮助我们检查某人是否是他们所说的人。无论出于何种原因，您的 ID 都不会与使用 爱彼迎 的其他任何人共享。当您被要求确认您的身份时，您需要添加您的法定姓名和地址，或提交您的政府身份证照片。这可能是驾照、护照、身份证或签证。如果您稍后需要回来完成身份确认，那没关系，您可以从上次中断的地方继续。有时，我们会要求您为自己拍摄一张新照片。这与您的个人资料照片不同，您也可能会被要求提供。请注意，完成此过程并不代表对任何主人或客人的认可、对某人身份的保证或与他们互动将是安全的保证。始终使用您自己的最佳判断，并遵循我们为客人和房东提供的安全提示。在某些情况下，您可能不需要添加政府 ID。当您添加您的法定姓名和地址时，我们会确认您的真实身份（这应该与您获得银行文件或水电费账单的位置一致）。我们会将这些信息与安全的第三方数据库进行匹配。我们绝不会与任何使用 爱彼迎 的人分享您的 ID。我们不会向房东提供您的身份证照片、您在身份验证时为自己拍摄的照片或您的地址。但是，我们会分享： 您身份证上的名字 您是否超过或未满 25 岁 您的身份证是否已成功添加 您的个人资料照片和个人资料名称
ID检查,您的安全是重中之重。我们希望您确信 爱彼迎 上的人就是他们所说的那样。我们这样做的一种方法是检查政府身份证。这可能是驾照、护照、身份证或签证。一些房东需要政府身份证才能让客人预订住宿或体验。您的 ID 永远不会与使用 爱彼迎 的任何其他人共享。
ID提交,通过提供您的身份信息，您有助于在 爱彼迎 社区中建立信任。当您被要求确认您的身份时，您需要添加您的法定姓名和地址，或政府身份证（驾驶执照、护照或国民身份证）的照片。如果您稍后需要返回并完成身份确认，请转到身份验证以从上次中断的地方继续。遇到麻烦？试试这些： 检查您的信息：您可能已经通过短信、电子邮件或电话收到了更多信息。你认为你可能错过了一封电子邮件吗？了解原因。授予摄像头权限：爱彼迎应用程序或您的浏览器可能需要获得权限才能访问您的摄像头。还是行不通？尝试刷新应用程序或页面。使用高质量的照片：在光线充足的房间里拍照，检查你的脸是否晰且没有被遮挡，并且信息是否符合提供的白线。使用“自动”模式将允许应用程序自动拍摄高质量的照片，尽管您可以随时切换回手动拍摄照片。欢迎佩戴宗教头巾，但请确保我们可以看到您的眼睛、鼻子和嘴巴。提交身份证原件（非复印）和完好无损的照片：如果身份证件有两面，如驾照或国民身份证，请提交正反面照片。对于新加坡、香港、荷兰、日本和韩国的居民：确保您的身份证件图片上没有显示您的身份证号或注册号。如果您要上传韩国国民身份证或驾驶执照，请只保留前 6 位数字（其中包含您的出生日期）。
验证号码,转到帐户 > 个人信息 在电话号码旁边，单击编辑然后添加电话号码 选择您的国家，（国家代码将自动添加）输入您的区号和电话号码单击验证，我们将向您发送一个 4 位数短信验证码 (SMS) 输入您的 4 位数验证码 验证您的电话号码后，您可以通过转到“帐户”并选择“通知”来管理短信通知。标准消息和数据费率可能适用于发送或接收的任何呼叫或消息。
验证中国,对于所有在中国的房东和客人，我们根据适用的法律法规提供本地化的身份验证流程： 您在线提供您的政府身份证号码 我们通过面部识别技术将其与第三方数据库进行匹配 这也有助于减少在线欺诈，建立信任，让整个 爱彼迎 社区更安全。
正假爱彼迎,如果您收到一封电子邮件或被引导到一个看起来像 爱彼迎 但要求提供机密信息的网站，请谨慎行事。如有疑问，请始终从 爱彼迎 主页开始。在浏览器中输入 https://www.爱彼迎.com 并从那里开始。到 爱彼迎 的真正链接将以 https://www.爱彼迎.com 或特定国家/地区的 URL 开头，例如 https://es.爱彼迎.com、https://it.爱彼迎.com、https://www。 爱彼迎.com.at，或 https://www.爱彼迎.co.uk。如果您点击的链接将您带到一个看起来像 爱彼迎 但并非以该地址开头的页面，则该页面是欺诈页面，您应该关闭它。欺诈性电子邮件通常来自可能看起来相似的域，例如@bnb.com 或@reservation-爱彼迎.com。但来自 爱彼迎 的合法电子邮件只会来自以下域：@爱彼迎.com @爱彼迎action.com @爱彼迎love.com @爱彼迎mail.com @support-email.爱彼迎.com @supportmessaging.爱彼迎.com @爱彼迎.zendesk.com @ e.爱彼迎.com @express.medallia.com @ext.爱彼迎.com @guest.爱彼迎.com @host.爱彼迎.com @noreply@qemailserver.com @outreach.爱彼迎.com @research.爱彼迎.com 如果不是从这些地址之一发送的，它不是来自 爱彼迎。如果您认为自己遇到了一个看起来像 爱彼迎 的网页，请在 https://www.爱彼迎.com/report-phishing 报告该网站的 URL，让我们知道。此页面仅用于报告可疑网站——它不会创建 爱彼迎 帮助请求或向您发送确认信息。如果您与欺诈网站互动或担心您的帐户安全，请联络我们。
登录信息,对您过去的登录感到好奇吗？转到帐户并选择登录和安全。在设备历史记录下，您会找到您爱彼迎帐户的登录列表，包括： 什么浏览器或设备 什么时间 访问地点
两步验证,首先，在网络或移动浏览器上转到帐户设置 > 个人信息，如果您还没有添加您的电话号码，请添加您的电话号码。然后： 转到帐户设置 > 登录和安全或个人信息 从任一页面顶部的设置两步验证横幅中，单击或点击立即设置 选择您希望如何接收一次性密码 - 通过文本 (SMS) 或电话 — 并在出现提示时输入 创建个人识别码 (PIN) 添加只有您可以回答的安全问题 要编辑您的 PIN 或安全问题，请单击编辑链接。
两步验证问题,您的 PIN 和安全问题 确保您的帐户上有一个可以接收验证码的电话号码 - 如果没有，请先按照上述步骤更新您的电话 从帐户设置的登录和安全页面单击编辑 PIN 如果可以不记得您的 PIN，您可以通过单击忘记 PIN 来回答安全问题？输入您的 PIN 屏幕中的链接 如果您不记得您的 PIN 或安全问题，您需要在尝试更新您的 PIN 时单击两步验证过程中的需要帮助链接 准备好更新您的 PIN 为一旦您收到我们的回复，将在 12-24 小时内
未经授权使用,认为您的帐户已在未经您许可的情况下被访问？现在让我们深入了解它。前往 爱彼迎.com/review_your_account 并按照说明进行操作。您可能会被要求： 更改您的爱彼迎密码 查看您上次登录帐户的时间并确认您识别登录的设备和位置 检查您的联络信息、个人资料照片、房源和付款方式是否未被他人更改else 确认您帐户中的任何预订都是由您进行的 如果有任何不妥之处，我们将帮助您了解所做的更改以及如何撤消这些更改。
爱彼迎love_&open,有时，我们会以独特、定制的礼物形式与房东和房客分享一点 爱彼迎Love —— 一份感谢您或庆祝特殊时刻的小礼物。您可能会收到一封来自我们的合作伙伴 &Open 的电子邮件，询问您的地址或接收礼物的最佳时间。我们希望确保您得到您的特别款待。只有当我们向您发送现金礼物时，&Open 才会询问您的银行卡详细信息。现金礼物由 &Open 通过 PayPal 的子公司 Hyperwallet 支付服务发送。所有现金礼品应在发送后的 1-2 个工作日内通过您的卡或您的银行账户收到。
Medallia,我们喜欢学习、改进和成长——如果没有社区的声音，我们就无法做到这一点。这就是为什么您可能会收到 Medallia 代表 爱彼迎 发送的电子邮件，以寻求有关您在我们这里的体验的反馈。我们非常感谢您能抽出几分钟时间告诉我们如何让您的爱彼迎体验令人惊叹。不想收到此类电子邮件？没问题。只需点击退订。我们不会把它当成个人！
评论住宿,点评是房东和房客相互提供反馈的好方法。它们还帮助我们的社区了解在制定计划时会发生什么。以下是点评的运作方式： 结帐完成后，我们会要求您撰写点评并为您最近的旅行或您的客人提供星级评分 您必须在结帐后的 14 天内提交点评 - 在此期间，您可以对其进行编辑，直到对方提交他们的评论 评论仅在 a) 双方都完成他们的评论后发布，或 b) 14 天期限结束 - 以先到者为准 您也可以留下私人反馈，该反馈只会与发布评论后您的主人或客人
体验评论,体验结束后，客人有 30 天的时间发表公开评论，并可以选择为房东分享私人反馈。请记住，即使客人迟到、早退或因找不到会面地点而没有参加，客人仍然可以撰写评论。
写评论,"要求：1,000 字限制 必须遵守我们的评论政策 请注意，您必须在结帐后的 14 天内提交您的评论——之后，您将无法对其进行编辑。最好的评论是有帮助的。在预订住宿或欢迎某人进入您的地方之前，请考虑一下您想知道的内容。突出以下内容：您与客人、主人及其同事的互动——他们是否愉快和尊重？任何让住宿变得特别的东西，例如洁度、个人风格、便利性、令人惊叹的咖啡 实用信息：房东是否乐于助人并有空？你对这个位置感到兴奋吗？单准确吗？您还可以选择留下私人反馈，这些反馈将在发布评论时共享。详细了解点评如何适用于住宿。如果您愿意，您可以将私人反馈留给房东或客人，这些反馈将在发布评论时仅与他们分享。您还可以在发布后 30 天内对某人为您留下的评论发表公开回复。虽然您无法删除他们的评论，但如果您认为它违反了我们的评论政策，您可以举报。"
改评论,转到个人资料 > 评论 选择您的评论 转到您要编辑的评论
删除评论,一旦您撰写的评论被发布，您可以联络我们要求将其删除。别人写评论了吗？请注意，我们只会在违反我们的审查政策时采取行动。请注意，撰写评论的人始终有权要求将其删除。
回复评论,转到个人资料 > 评论 单击您的评论 转到您要回复的评论，然后单击发表回复 您的回复将立即发布，之后您将无法对其进行编辑 - 所以花点时间认真考虑一下你想说的是什么。
审查取消,如果房东在入住前取消住宿，您将无法留下评论。相反，系统会在他们的房源资料中添加一条自动评论，以表明他们取消了预订。这些评论是房东取消的处罚之一，无法删除。如果房东在入住当天或之后取消住宿（房源所在时区的凌晨 12:00），您可以选择留下评论。如果您选择发表评论，请务必遵守我们的评论政策，并且只对您可以亲自交谈的相关体验进行评分和评论。例如，您可能会收到有关沟通不畅、入住时出现问题或难以找到房源的宝贵反馈。但是，如果您没有完成登记入住，您可能没有关于位置、便利设施或价值的相关反馈。
安全不安全,如果发生紧急情况，或者您的人身安全在旅途中受到威胁，请立即联络当地警察或紧急服务部门。您还可以： 联络 爱彼迎 报告问题；我们在这里 24/7。在我们的帮助中心阅读更多关于如何直接联络我们的信息。在您开始旅行之前阅读我们的安全提示，以帮助您自信地旅行
安全位置,您很高兴预订住宿地点，但现在您正在重新考虑该位置。第一步，阅读房东在房源描述中发布的所有内容，例如设施、房屋规则和指南（如果有的话）。还在担心吗？联络您的房东以了解有关该社区的更多信息。重要提示：在预订前查看房东的取消政策。如果时事或政治冲突造成不安全的情况，如果您因特殊情况取消，您可能有资格获得全额退款。
体验伤害,您的安全是重中之重。如果您在体验期间受伤或需要医疗护理，请自行前往安全的地方并立即联络当地紧急服务部门。一旦您安全并且您的直接担忧得到解决，请向我们报告该事件。最快的方法是使用您的爱彼迎应用程序，点击您的个人资料并选择获取帮助，然后点击您的旅行下方的联络我们。
